DATASET_ID	FILE
TCGA-KIRC	238b7ada-107e-45f8-83e5-7161cd34847a_atacseq_gdc_realn.bam
TCGA-KIRC	a6390494-d893-4065-8dce-104a88bb0c15_atacseq_gdc_realn.bam
TCGA-KIRC	ade55d7b-a1cd-41f6-bb84-10d188e88e79_atacseq_gdc_realn.bam
TCGA-KIRC	25a05c6e-6e41-4c0c-b5e8-07aa496d00ae_atacseq_gdc_realn.bam
TCGA-KIRC	ea60a14f-c845-451d-b9e9-dc265e84f095_atacseq_gdc_realn.bam
TCGA-KIRC	93bb72ce-1811-4ad5-8c55-5afeaf165797_atacseq_gdc_realn.bam
TCGA-KIRC	25c95fdf-6ecf-440d-94c3-dc403d42c54c_atacseq_gdc_realn.bam
TCGA-KIRC	fbb0f41a-25b8-4daf-8934-4c104bcb7070_atacseq_gdc_realn.bam
TCGA-KIRC	f71337a7-9cd3-4010-9f12-7abe6a050d29_atacseq_gdc_realn.bam
TCGA-KIRC	a4add706-666a-4cad-8bad-09b8f565896e_atacseq_gdc_realn.bam
TCGA-KIRC	edb85daf-587f-4f36-b1e1-e1ad5935fef4_atacseq_gdc_realn.bam
TCGA-KIRC	9f0c71aa-66a8-4fe6-8432-f4bf9b7a3ee3_atacseq_gdc_realn.bam
TCGA-KIRC	dca94155-bffc-4db5-a8ef-04a7c71470f3_atacseq_gdc_realn.bam
TCGA-KIRC	824c3b77-9ec3-4378-bce7-9200809aa121_atacseq_gdc_realn.bam
TCGA-KIRC	bb6daff6-703a-4c87-b8b8-d332485696dd_atacseq_gdc_realn.bam
TCGA-KIRC	aa487bce-0fff-48db-9a40-132c67004ebf_atacseq_gdc_realn.bam
